Start time (ms after ~1:02)	Start time (ms after ~1:02)	Raw transcription	Corrected transcription
0	9360	So I'm going to move on with the other item that has speakers listed and that is the item on the	
10080	17440	traffic committee of 10.1. So I suppose we should open the traffic committee.	
17440	19760	Oh no we'll hear the public forum first then we can do it.	
19760	31920	Yep okay this is to do with the cycleway in Heath Street so just if I call your name out	
31920	35520	put your hand up so I know you're here. Ralph? Rula? Ralph?	
38640	42400	David Martin? Yes. Francis O'Neill?	
42400	49200	Michael? Mike? Mike Boonton is in? Thank you.	
50880	61040	You're against? Ross Butler? Annie? Xerib? Annie you're from Mortlake are you speaking on this	
61040	77520	Heath Street one are you? Yes we are.	
77520	80880	Sorry Mr there's a lot of audible conversation it's hard to hear people speak.	
80880	87600	If you need to speak anybody that's please we would like everybody to you know listen and	
87600	94800	hear what's going on so if you need to speak the door's there go for it. Once in here please	
95840	98080	respect the floor and the speakers.	
100720	106160	Yeah so yeah we're only dealing with a little 200 meter section of the bikeway we're not dealing	
106160	111840	with the whole lot. We're not going to speak about anything else because we've got a specific report	
111840	123600	to do with Heath Street.	
123600	129840	We're only going to speak about Heath Street tonight. We're not right and with Baybug if I	
129840	136640	might just wish to ask you please it's a number of your speakers here tonight.	
136640	143840	We'd love to hear everything you have to say but not three four five times so keep it nice and short	
143840	152480	keep it to the issue and that's Heath Street and we all want to try to create a better	
152480	157280	liveable area Canada Bay but we're not going to solve the whole problem of the cycleway	
157280	163760	here tonight. We're only going to speak about Heath Street so once you start going off about	
163760	169360	other cycleways we're going to stop you there. Only Heath Street tonight talking about 200 meters	
169360	174800	and that's what we'll hear about so if you can please keep to that that would be great.	
174800	181120	So we'll let you go on about it Heath Street but just don't keep repeating. So first speaker Ralph	
181120	200960	I apologize. Please accept my apologies. I understand what you mean. My name's pretty hard to pronounce.	
200960	214560	I've been Ralphed all my life. I'm a bit sensitive to it. Mr. Mayor and Councillor I'm speaking as a	
214560	220480	representative of the Canada Bay Bicycle User Group and first of all let me acknowledge that	
220480	227440	the concerns voiced by residents that led to the proposal to remove the cycleway are genuinely held	
227440	234160	beliefs and that they should be taken seriously. Each concern must be thoroughly evaluated	
234160	241280	in careful consideration be given to addressing them. To me council's proposal along with the	
241280	247600	consultant report that attempts to support it does none of that and represents a knee-jerk reaction	
248240	255600	to put the matter to bed in the most politically expedient way. As someone who uses my bike to	
255600	261440	commute do the grocery shopping and travel around some of the wonderful destinations around Greater	
261440	267520	Sydney I was very pleased last September to see what I believed to be the first section in Heath	
267520	275760	Street of the taxpayer funded Canada Bay Regional Cycleway actually completed. I've written that	
275760	282240	section by myself and with much less able riders in the 20 plus years before the cycleway was in	
282240	289200	place and always felt like a sitting duck while grinding slowly up the hill. Nearby streets are	
289200	295440	harder to climb or have more exposure to motor traffic. Heath Street with its combination of	
295440	302320	lower traffic volumes and easier climb has always been the natural choice for those who cycle from	
302320	310240	the Bayrun and Timberl Park towards Central Five Dock and beyond. I asked Professor Miad Saberi from	
310240	316560	the University of New South Wales on the bike traffic modelling he has done and he said that	
316560	325520	Heath Street accommodates between 94 and 100 to 185 cycling trips per weekday on average excluding	
325520	335760	weekends that means between 23,500 and 46,250 cycling trips per year. Those estimates were based	
335760	344560	on 2021 data. If you count in weekends the number is likely to exceed 50,000 trips per year. Those	
344560	351680	were his words not mine. I was gobsmacked when I discovered a few months later the council now	
351680	357760	proposes to remove what looked to me like a well thought out piece of infrastructure that finally	
357760	363600	takes into account the safety of all road users. There are hundreds of kilometers of separated	
363600	369120	cycleway throughout Sydney a significant proportion of which run through residential	
369120	374720	streets like Heath Street and to my knowledge they have not led to an increase of risk or hazard	
374720	381200	to any particular category of road user. In fact I understand the net effect has been to reduce	
381200	385520	the number and severity of crashes in the neighborhoods where they are located.	
387280	393040	So while trying to distill the gist of the Heath Street residents concerns it occurred to me that	
393040	399360	the main issue was a sudden change to the streetscape and I acknowledge that that can be very distressing.	
400640	405680	It must be stated that Heath Street is not the exclusive property of the residents that live there	
406400	412080	nor the Timberl Park sports people that park there on weekends and weeknights and certainly	
412080	418400	not the people who ride their bikes along there. Heath Street is there for all road users in New	
418400	423840	South Wales to use. Like the Land Act says streets are provided for the movement of people.	
425760	431760	When I bought my house in Corrie's Avenue 23 years ago I was never asked if I thought it was	
431760	438400	okay for motor traffic to increase by a factor of three nor was I asked if it was okay for the	
438400	444000	street to become so solidly parked out a lot of the time that I have to take much more care looking	
444000	453200	out for traffic when I drive my car out of the driveway. Yet that's what's happened and unlike	
453200	460160	the residents of Heath Street there was not one iota of consultation. Canada Bay's environmental	
460160	469360	strategy from 2020 forecasts a population to increase from 79,000 in 2018 to 120,000 by 2036.	
469360	476560	By my sums that's an increase of 52 percent in that time the strategy forecasts walking to increase	
476560	484080	to 20 percent and cycling to increase to five percent by 2036. The way we are headed it seems	
484080	489840	like those figures are way too ambitious while council has a track record they can be proud of	
489840	498240	putting down walking and cycling tracks in uncontested spaces in places like parks and	
498240	505760	foreshores they have great benefits for recreation. The same can't be said for making road space safe	
505760	511280	for kids to ride their bikes to school or mums and dads to ride to work or to do the shopping.	
512000	517200	For the strategic plan to have any chance of actually working active transport.	
517200	522720	Ralph do you need more time your five minutes is up? About 30 seconds. I'll put it all in place.	
522720	529280	I always have it declared. Thank you. Thank you. Where was I? For the strategic plan to have any	
529280	536080	chance to actually work active transport must be taken seriously otherwise we'll be seeing 52 percent	
536080	541760	more cars clogging our roads and taking up non-existent parking spaces. Finally I would	
541760	548880	like to remind councillors the regional cycleway is not for people like me who you see are confidently	
548880	554320	rising riding in traffic it's for those you don't see because they are justifiably scared to ride	
554320	560080	their bikes on the road. I therefore ask council that the removal be deferred for a trial period	
560560	567280	while specific concerns are investigated in partnership as offered by Transport for New	
567280	572720	South Wales experts. Thank you for giving me the opportunity to speak tonight. Thank you Ralph.	
572720	580480	Did Ralph bring you did he bring all the baby issues to the floor or do we need to hear another	
580480	585600	another one okay all right David Martin please.	
589120	594880	Thanks Mr Mayor, councillors, officers, ladies and gentlemen. I'll just reiterate that last point that	
594880	598240	we are really seeing a lot of people who are not really interested in the	
598240	603280	traffic and the safety of their vehicles. We want to see an improvement in streets in Canada Bay	
603280	608720	for people walking for children for families for young people and that's what's happened with this	
608720	614080	200 meters is we're getting people who wouldn't ride normally feeling safe that they're protected	
614080	620480	from traffic. I'm a parent a grandparent, ex-primary school teacher and I've got a 25 year career	
620480	626960	in transport including in road safety so I'm only saying that to give you a little bit of a	
626960	631680	I'm only saying that to demonstrate I've got some understanding of the issues related to here so I'm	
631680	636960	here to oppose the removal it's an excellent facility as Ralph says and we recognize that the	
636960	642480	residents have got strongly held concerns but I think we can offer a constructive way forward.	
643520	649120	I don't believe the evidence that's been put forward in the paper that's come to council with	
649120	652800	the recommendation to remove it. I don't think the evidence really stacks up and I think the	
652800	659280	significant thing we should note is the transport for New South Wales voted against the proposal to	
659280	664400	remove it. They're the experts in this area and they've voted against it and if you go through the	
666880	674400	I do. Transport technically and in terms of regional network and cycleways they've got a	
674400	678320	whole lot of guidelines they've got the I don't want to go on but yes of course they are.	
678320	686720	So there are six pages and they go through here if you've read the agenda item the six pages you'll	
686720	692240	see that they're refuting each of the points and I'll just make some of those look and the broader	
692240	698400	point is that the impetus for the removal of the cycleway comes from the fact that circumstances	
698400	705600	in the streets in the lovely area of Rudd Point have changed and people are having trouble adapting	
705600	709840	to it and they've got very upset. Some of the points the key points that have been raised in	
709840	717040	opposition is the reduced width of Heath Street it's with the cycleway from those concrete buffers	
717040	723200	to the curb 8.859 meters and they're saying oh you know they could be head-on collisions.	
723840	731120	Well my street in Fyfe Duc where I live it's 6.6 meters and the difference is something like that	
731120	737520	so transport says that it's not a problem it's very generous with compared with streets around	
738640	742960	Will Sydney and Fyfe Duc and in Rod Point too it's a very wide street	
744640	747600	we've coped with it in my street there are no head-ons	
749520	754960	people it's called the Yield Street if cars are coming together one must give way to the other	
754960	761600	you've got to duck in that's the way it works it's not that hard. Sight lines drivers leaving driveways	
761600	767680	yes it's it's changed transport says they've got to check for bicycles as they come out of their	
767680	773840	properties then go past the parked cars and check for traffic you've got to creep out that's the way	
773840	779200	you do it this is Sydney there's a lot of traffic there's a lot of um there's need to be careful	
779200	784720	things are changing. Heath and Rickard we need to investigate it because they're talking about the	
784720	791200	sight lines you may need to move the give way line you might need to put in some concrete curve	
791200	795920	extensions transport says it's it's fixable in fact all the problems that are raised	
796560	804000	can be fixed by it's transport management 101 the other thing too is is community engagement	
804000	809040	what we've done what council's done with this with the community consultation is invite everybody	
809040	814800	to throw in all their bits and pieces about what they like or don't like what's really	
814800	819600	going to happen now is the community's got to be engaged one-on-one if they see problems	
820160	825600	that they'd like to see resolved so it's a different model okay so there may be tweaks required	
825600	832320	to the concrete separators to you might need to get a driving instructor in to coach people	
832320	837840	about driving in and out that has happened that has happened in other places you've really got to	
837840	846480	you've really got to help people adapt to change the uh the external traffic engineer says remove	
846480	851280	the cycle way to be safer for all road users absolutely no consideration in that report	
852000	859120	of the safety of bicycle users and that separation uh gives and taking it out is going to deter	
859120	866560	people from riding bikes the officer's report fails to note that the majority of respondents	
866560	872560	to the community consultation oppose a removal this is really about the interest of a small group	
873360	879760	of agitated residents over the benefits of everybody else in canada bay might also draw	
879760	884240	attention to financial matters ripping it out council's going to have to pay for it	
884240	889360	uh and it may result in financial penalties from the state authorities and place future	
889360	895680	funding in jeopardy the state and federal fund funding sources really support much of the traffic	
895680	900720	management that we're introducing like the wombats and the refuges around the streets we can	
900720	905680	congratulate the council for getting that money because those funds are there but the waste is	
905680	910800	not a good look not a good look do you need extra time yes one minute please	
910800	918800	one minute all those in favor say aye say no no no i'm going please thank you okay	
921520	925520	so the way the waste is not a good look for council after concord oval and all the other issues that	
925520	932480	we've had um and i think the problems that it introduces with state funding is um is really	
932480	939120	we can avoid it we can avoid it um so transport for new south wales is often a problem and we	
939120	943760	we're not going to be able to do that so transport for new south wales is offering a joint reveal of	
943760	949840	the design to balance all user requirements and all user safety issues and we support council	
949840	955920	accepting that offer so i urge council is to frame a motion i ask that you frame a motion	
955920	960160	you've got to reject the recommendation from traffic committee and that'll be terrific or	
960160	964560	defer the decision pending the development in conjunction with transport for new south wales	
964560	971840	and the history that balances all user requirements and all user safety issues thank you thank you	
971840	979120	very much thank you miss martin can i ask for the next speaker please francis o'neill	
987840	994000	evening everyone um this will be short uh i'm francis o'neill from bicycle new south wales	
994000	1000960	uh peak body for active transport i want to thank canada bay council for the opportunity to support	
1001840	1008160	the excellent cycleway that's on the heath street when i rode it i thought wow you know this is	
1008160	1017520	generously wide it's wonderful um future planning sustainability active travel the distance between	
1017520	1024240	the school the oval we're all about getting kids and old people from eight to eighty riding and	
